case_id,collision_date,collision_time,day_of_week,m_primaryrd,m_secondrd,distance,direction,point_x,point_y,collision_severity,number_injured,number_killed,ptyatfault,pcf_viol_category,hit_and_run,type_of_collision,mviw,ped_action,pcf_violation,weather_1,weather_2,road_surface,road_cond_1,road_cond_2,lighting,control_device,partytype1,party_age1,party_sex1,party_dir1,movement1,sobriety1,drug1,veh_type1,veh_year1,veh_make1,safety_eq1,partytype2,party_age2,party_sex2,party_dir2,movement2,sobriety2,drug2,veh_type2,veh_year2,veh_make2,safety_eq2,partytype3,party_age3,party_sex3,party_dir3,movement3,sobriety3,drug3,veh_type3,veh_year3,veh_make3,safety_eq3
8859573,4/11/19,2050,Thursday,FIGUEROA ST,OLYMPIC BLVD,238,South,-118.264462,34.04446411,Complaint of Pain,1,0,1,Other Improper Driving,No,Vehicle / Pedestrian,Pedestrian,Not in Road,0,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Dark - Street Lights,None,Driver,66,Male,South,Backing,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2011,TOYOTA,Air Bag Not Deployed,Pedestrian,21,Male,West,Not Stated,"Had Been Drinking, Under Influence",Not Stated,Pedestrian,,-,Not Stated,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8861222,4/29/19,2338,Monday,FIGUEROA ST,ADAMS BLVD,0,Not Stated,-118.2760422,34.02815628,Property Damage Only,0,0,1,Driving or Bicycling Under the Influence of Alcohol or Drug,Misdemeanor,Broadside,Other Motor Vehicle,No Pedestrian Involved,23152,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Dark - Street Lights,Functioning,Driver,48,Male,West,Proceeding Straight,"Had Been Drinking, Under Influence",Not Stated,Passenger Car/Station Wagon,2009,CHRYSLER,Air Bag Deployed,Driver,37,Female,North,Proceeding Straight,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2005,SATURN,Air Bag Deployed,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8861808,4/5/19,1145,Friday,FIGUEROA ST,8TH ST,15,South,-118.2612712,34.04790115,Property Damage Only,0,0,1,Improper Passing,Misdemeanor,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,21755,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Daylight,None,Driver,998,Not Stated,North,Proceeding Straight,Impairment Unknown,Impairment Unknown,Not Stated,    ,-,Not Stated,Driver,61,Male,North,Stopped,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2013,CHRYSLER,Air Bag Not Deployed,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8866340,3/27/19,1745,Wednesday,WASHINGTON BLVD,FIGUEROA ST,0,Not Stated,-118.2720621,34.03436661,Complaint of Pain,1,0,1,Unsafe Lane Change,Felony,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,21658,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Daylight,None,Driver,998,Not Stated,West,Parked,"Had Been Drinking, Impairment Unknown",Not Stated,Not Stated,    ,-,Not Stated,Driver,23,Female,West,Merging,"Had Been Drinking, Not Under Influence",Not Stated,Passenger Car/Station Wagon,2014,CHEVROLET,Air Bag Not Deployed,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8868926,4/26/19,630,Friday,FIGUEROA ST,8TH ST,0,Not Stated,-118.2612421,34.04793549,Complaint of Pain,1,0,1,Pedestrian Right of Way,No,Vehicle / Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,21950,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Dusk - Dawn,Functioning,Driver,32,Female,North,Making Left Turn,Had Not Been Drinking,Not Stated,Pickup or Panel Truck,2012,GMC,Air Bag Not Deployed,Pedestrian,49,Male,South,Not Stated,Had Not Been Drinking,Not Stated,Pedestrian,,-,Not Stated,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8869554,4/17/19,2045,Wednesday,8TH ST,FIGUEROA ST,0,Not Stated,-118.2612421,34.04793549,Property Damage Only,0,0,2,Improper Turning,Misdemeanor,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,22100,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Dark - Street Lights,None,Driver,998,Not Stated,West,Proceeding Straight,Impairment Unknown,Impairment Unknown,Not Stated,    ,-,Not Stated,Driver,40,Male,West,Making Right Turn,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2008,BMW,Air Bag Not Deployed,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8873461,4/18/19,1715,Thursday,FIGUEROA ST,8TH ST,110,North,-118.2610269,34.04817581,Property Damage Only,0,0,1,Unsafe Lane Change,No,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,21658,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Daylight,Functioning,Driver,53,Female,North,Changing Lanes,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2006,HONDA,Air Bag Not Deployed,Driver,43,Female,North,Stopped,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2017,LEXUS,Air Bag Not Deployed,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8881257,4/17/19,1155,Wednesday,FIGUEROA ST,20TH ST,0,Not Stated,-118.2729622,34.03296661,Other Visible Injury,1,0,1,Automobile Right of Way,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,21801,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Daylight,None,Driver,36,Male,South,Making Left Turn,Had Not Been Drinking,Not Stated,Pickup or Panel Truck,2018,NISSAN,Air Bag Deployed,Driver,22,Male,North,Proceeding Straight,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2018,HONDA,Air Bag Deployed,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8882742,5/15/19,1615,Wednesday,6TH ST,FIGUEROA ST,0,Not Stated,-118.2585221,34.05082321,Other Visible Injury,1,0,1,Automobile Right of Way,No,Vehicle / Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,21801,Cloudy,Not Stated,Dry,No Unusual Condition,Not Stated,Daylight,Functioning,Driver,52,Male,North,Making Left Turn,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2015,HONDA,Air Bag Not Deployed,Pedestrian,29,Female,West,Proceeding Straight,Not Applicable,Not Applicable,Pedestrian,,-,Not Stated,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8882956,5/6/19,620,Monday,FIGUEROA ST,8TH ST,210,South,-118.2616512,34.04747009,Complaint of Pain,1,0,1,Improper Turning,No,Broadside,Bicycle,No Pedestrian Involved,22107,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Daylight,None,Driver,28,Female,North,Making Right Turn,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2014,AUDI,Air Bag Not Deployed,Bicyclist,50,Male,North,Proceeding Straight,Had Not Been Drinking,Not Stated,Bicycle,,-,Not Stated,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8884105,5/18/19,2310,Saturday,FIGUEROA ST,18TH ST,50,South,-118.2714692,34.03529358,Property Damage Only,0,0,1,Driving or Bicycling Under the Influence of Alcohol or Drug,No,Hit Object,Fixed Object,No Pedestrian Involved,23152,Cloudy,Not Stated,Wet,No Unusual Condition,Not Stated,Dark - Street Lights,Functioning,Driver,19,Female,South,Ran Off Road,"Had Been Drinking, Under Influence",Not Stated,Passenger Car/Station Wagon,2017,FORD,Air Bag Not Deployed,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8884192,4/29/19,1200,Monday,FIGUEROA ST,8TH PL,170,North,-118.2619127,34.04717636,Other Visible Injury,1,0,1,Improper Turning,No,Rear End,Parked Motor Vehicle,No Pedestrian Involved,22107,Cloudy,Not Stated,Not Stated,No Unusual Condition,Not Stated,Daylight,None,Driver,64,Male,North,Changing Lanes,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2012,MERCEDES-BENZ,Air Bag Not Deployed,Driver,34,Male,North,Proceeding Straight,Had Not Been Drinking,Not Stated,Motorcycle/Scooter,2003,HARLEY-DAVIDSON,Not Required,Parked Vehicle,998,Not Stated,North,Parked,Not Applicable,Not Applicable,Passenger Car/Station Wagon,2018,CHEVROLET,Not Stated
8885569,5/21/19,1215,Tuesday,FIGUEROA ST,WASHINGTON BLVD,0,Not Stated,-118.2720621,34.03436661,Complaint of Pain,2,0,1,Automobile Right of Way,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,21801,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Daylight,Functioning,Driver,32,Female,South,Making Left Turn,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2008,LEXUS,Air Bag Not Deployed,Driver,19,Female,North,Proceeding Straight,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2011,CHEVROLET,Air Bag Deployed,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8886323,5/13/19,2242,Monday,FIGUEROA ST,ADAMS BLVD,35,North,-118.2759882,34.0282402,Complaint of Pain,2,0,1,Unsafe Speed,No,Rear End,Other Motor Vehicle,No Pedestrian Involved,22350,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Dark - Street Lights,None,Driver,66,Male,South,Proceeding Straight,Not Stated,Sleepy/Fatigued,Other Bus,2016,STRICKLAND,Air Bag Not Deployed,Driver,23,Male,South,Stopped,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,1999,HONDA,Air Bag Not Deployed,Driver,50,Male,South,Stopped,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2016,LEXUS,Air Bag Not Deployed
8888708,5/23/19,1240,Thursday,7TH ST,FIGUEROA ST,0,Not Stated,-118.2599022,34.04938507,Property Damage Only,0,0,1,Improper Turning,No,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,22107,Cloudy,Not Stated,Dry,No Unusual Condition,Not Stated,Daylight,None,Driver,57,Male,East,Other Unsafe Turning,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2013,JEEP,Air Bag Not Deployed,Driver,49,Female,East,Proceeding Straight,Had Not Been Drinking,Not Stated,Other Bus,2012,OTHER - BUS,Air Bag Not Deployed,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8901463,6/11/19,1410,Tuesday,FIGUEROA ST,OLYMPIC BLVD,150,North,-118.263666,34.04529953,Property Damage Only,0,0,1,Unsafe Speed,No,Rear End,Other Motor Vehicle,No Pedestrian Involved,22350,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Daylight,None,Driver,37,Female,North,Proceeding Straight,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2001,CHRYSLER,Air Bag Not Deployed,Driver,33,Male,North,Stopped,Had Not Been Drinking,Not Stated,Pickup or Panel Truck,2019,GMC,Air Bag Not Deployed,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8901471,6/11/19,1155,Tuesday,FIGUEROA ST,PICO BLVD,80,North,-118.2679026,34.04080963,Other Visible Injury,1,0,,Unsafe Lane Change,No,Sideswipe,Bicycle,No Pedestrian Involved,21658,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Daylight,Functioning,Driver,39,Male,North,Proceeding Straight,Had Not Been Drinking,Not Stated,Other Bus,2012,OTHER - BUS,Air Bag Not Deployed,Bicyclist,44,Male,North,Proceeding Straight,Had Not Been Drinking,Not Stated,Bicycle,,-,Not Stated,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8901952,6/6/19,1720,Thursday,8TH ST,FIGUEROA ST,0,Not Stated,-118.2612421,34.04793549,Complaint of Pain,1,0,1,Improper Turning,No,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,22107,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Daylight,None,Driver,33,Female,West,Making Right Turn,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2016,VOLKSWAGEN,Air Bag Not Deployed,Driver,26,Male,West,Proceeding Straight,Had Not Been Drinking,Not Stated,Motorcycle/Scooter,2014,KAWASAKI,Not Required,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8904402,8/1/19,1830,Thursday,FIGUEROA ST,11TH ST,13,West,-118.2652286,34.04364777,Other Visible Injury,1,0,1,Improper Turning,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,22107,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Daylight,Functioning,Driver,47,Female,North,Making Right Turn,Had Not Been Drinking,Not Stated,Emergency Vehicle,2006,TOYOTA,Air Bag Not Deployed,Other,998,Not Stated,North,Proceeding Straight,Had Not Been Drinking,Not Stated,Other Vehicle,,-,Not Stated,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8905119,8/30/19,930,Friday,FIGUEROA ST,VENICE BLVD,198,South,-118.2703746,34.03697968,Complaint of Pain,1,0,1,Improper Turning,No,Rear End,Other Motor Vehicle,No Pedestrian Involved,22107,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Daylight,Obscured,Driver,38,Male,North,Changing Lanes,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2019,AUDI,Air Bag Not Deployed,Driver,48,Male,North,Proceeding Straight,Had Not Been Drinking,Not Stated,Emergency Vehicle,2014,BMW,Other,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8905730,5/30/19,1820,Thursday,FIGUEROA ST,20TH ST,0,Not Stated,-118.2729622,34.03296661,Complaint of Pain,1,0,1,Automobile Right of Way,No,Head-On,Other Motor Vehicle,No Pedestrian Involved,21801,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Daylight,Functioning,Driver,45,Male,South,Making Left Turn,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,1994,TOYOTA,Air Bag Deployed,Driver,30,Female,North,Proceeding Straight,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2017,AUDI,Air Bag Not Deployed,Driver,54,Female,North,Proceeding Straight,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2015,TOYOTA,Air Bag Not Deployed
8907225,5/21/19,849,Tuesday,FIGUEROA ST,20TH ST,0,Not Stated,-118.2729622,34.03296661,Complaint of Pain,1,0,1,Automobile Right of Way,Felony,Broadside,Non-Collision,No Pedestrian Involved,21801,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Daylight,Functioning,Driver,998,Not Stated,South,Making Left Turn,Impairment Unknown,Impairment Unknown,Not Stated,    ,-,Not Stated,Driver,56,Male,North,Proceeding Straight,Had Not Been Drinking,Not Stated,Motorcycle/Scooter,2017,INDIAN (MOTORCYCLE),Not Stated,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8909198,6/13/19,1555,Thursday,FIGUEROA ST,20TH ST,0,Not Stated,-118.2729622,34.03296661,Complaint of Pain,5,0,1,Automobile Right of Way,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,21801,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Daylight,None,Driver,52,Female,South,Making Left Turn,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,1996,TOYOTA,Air Bag Not Deployed,Driver,27,Male,North,Proceeding Straight,Had Not Been Drinking,Not Stated,Other Bus,2013,OTHER - BUS,Not Required,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8909353,6/15/19,100,Saturday,6TH ST,FIGUEROA ST,0,Not Stated,-118.2585221,34.05082321,Other Visible Injury,5,0,1,Improper Turning,No,Vehicle / Pedestrian,Other Motor Vehicle,Not in Road,22107,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Dark - Street Lights,Functioning,Driver,47,Male,East,Making Left Turn,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2013,TOYOTA,Air Bag Deployed,Driver,47,Male,East,Proceeding Straight,Had Not Been Drinking,Not Stated,Other Bus,2013,OTHER - BUS,Not Required,Pedestrian,52,Male,North,Not Stated,Had Not Been Drinking,Not Stated,Pedestrian,,-,Not Stated
8910089,6/26/19,1000,Wednesday,FIGUEROA ST,PICO BLVD,0,Not Stated,-118.2680422,34.04062653,Property Damage Only,0,0,1,Unsafe Lane Change,No,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,21658,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Daylight,Functioning,Driver,54,Male,East,Changing Lanes,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2018,HYUNDAI,Air Bag Not Deployed,Driver,47,Male,East,Stopped,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2007,OTHER - AUTO,Air Bag Not Deployed,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8912799,7/5/19,1825,Friday,FIGUEROA ST,OLYMPIC BLVD,70,North,-118.263826,34.04512405,Property Damage Only,0,0,1,Unsafe Lane Change,Misdemeanor,Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,21658,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Dusk - Dawn,Functioning,Driver,998,Not Stated,North,Proceeding Straight,Impairment Unknown,Impairment Unknown,Not Stated,    ,-,Not Stated,Parked Vehicle,998,Not Stated,North,Parked,Not Applicable,Not Applicable,Other Bus,2006,ACADIAN,Not Stated,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8916335,6/21/19,1845,Friday,FIGUEROA ST,VENICE BLVD,0,Not Stated,-118.2700821,34.03746414,Other Visible Injury,3,0,1,Automobile Right of Way,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,21801,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Daylight,Functioning,Driver,43,Female,South,Making Left Turn,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2019,TOYOTA,Air Bag Deployed,Driver,44,Male,North,Proceeding Straight,Had Not Been Drinking,Not Stated,Emergency Vehicle,2018,FORD,Air Bag Deployed,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8916373,6/29/19,1300,Saturday,9TH ST,FIGUEROA ST,0,Not Stated,-118.2628222,34.04620361,Property Damage Only,0,0,1,Improper Turning,No,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,22100,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Daylight,Functioning,Driver,47,Male,East,Making Left Turn,Had Not Been Drinking,Not Stated,Emergency Vehicle,1995,OTHER - TRUCK,Air Bag Not Deployed,Driver,22,Male,East,Proceeding Straight,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2017,NISSAN,Air Bag Not Deployed,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8916389,6/26/19,1150,Wednesday,FIGUEROA ST,18TH ST,0,Not Stated,-118.2713922,34.03541565,Complaint of Pain,2,0,1,Improper Turning,No,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,22107,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Daylight,Functioning,Driver,29,Female,North,Making Left Turn,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2013,VOLKSWAGEN,Air Bag Not Deployed,Driver,41,Female,North,Proceeding Straight,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2014,FORD,Air Bag Not Deployed,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8917439,7/13/19,2130,Saturday,FIGUEROA ST,ADAMS BLVD,0,Not Stated,-118.2760422,34.02815628,Property Damage Only,0,0,,Unknown,Misdemeanor,Rear End,Other Motor Vehicle,No Pedestrian Involved,20015,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Dusk - Dawn,Functioning,Driver,998,Not Stated,South,Proceeding Straight,Impairment Unknown,Impairment Unknown,Not Stated,    ,-,Not Stated,Driver,42,Male,South,Stopped,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2015,DODGE,Air Bag Not Deployed,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8917683,6/23/19,1530,Sunday,FIGUEROA ST,WASHINGTON BLVD,0,Not Stated,-118.2720621,34.03436661,Complaint of Pain,4,0,1,Automobile Right of Way,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,21801,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Daylight,Functioning,Driver,54,Male,South,Making Left Turn,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2004,FORD,Air Bag Not Deployed,Driver,27,Female,North,Proceeding Straight,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2017,TOYOTA,Air Bag Deployed,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8918636,7/25/19,1810,Thursday,FIGUEROA ST,ADAMS BLVD,75,North,-118.2759265,34.02833557,Property Damage Only,0,0,1,Unsafe Lane Change,Misdemeanor,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,21658,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Daylight,Functioning,Driver,998,Not Stated,South,Other Unsafe Turning,Impairment Unknown,Impairment Unknown,Not Stated,    ,-,Not Stated,Driver,27,Female,South,Proceeding Straight,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2015,FORD,Air Bag Not Deployed,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8919524,6/28/19,2230,Friday,FIGUEROA ST,WILSHIRE BLVD,0,Not Stated,-118.2592621,34.05004501,Property Damage Only,0,0,1,Traffic Signals and Signs,Misdemeanor,Broadside,Other Motor Vehicle,No Pedestrian Involved,21453,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Dark - Street Lights,Functioning,Driver,55,Male,East,Proceeding Straight,Not Applicable,Not Applicable,Passenger Car/Station Wagon,2016,NISSAN,Air Bag Deployed,Driver,38,Male,North,Proceeding Straight,Not Applicable,Not Applicable,Passenger Car/Station Wagon,2018,LEXUS,Air Bag Deployed,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8920972,7/27/19,125,Saturday,FIGUEROA ST,PICO BLVD,47,South,-118.2681213,34.0405159,Complaint of Pain,1,0,1,Improper Turning,Felony,Broadside,Other Motor Vehicle,No Pedestrian Involved,22107,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Dark - Street Lights,Functioning,Driver,998,Not Stated,South,Making Left Turn,Impairment Unknown,Impairment Unknown,Not Stated,    ,-,Not Stated,Driver,30,Female,North,Stopped,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2007,CHEVROLET,Air Bag Not Deployed,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8920976,7/25/19,1140,Thursday,FIGUEROA ST,WILSHIRE BLVD,25,South,-118.2593135,34.04999161,Complaint of Pain,2,0,1,Following Too Closely,Felony,Rear End,Other Motor Vehicle,No Pedestrian Involved,21703,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Daylight,Functioning,Driver,998,Not Stated,North,Proceeding Straight,Impairment Unknown,Impairment Unknown,Not Stated,    ,-,Not Stated,Driver,29,Female,North,Stopped,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2018,KIA,Air Bag Not Deployed,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8921644,7/23/19,25,Tuesday,FIGUEROA ST,23RD ST,96,South,-118.2745286,34.03055191,Other Visible Injury,1,0,2,Pedestrian Violation,Felony,Vehicle / Pedestrian,Pedestrian,Crossing not at Crosswalk,21954,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Dark - Street Lights,Functioning,Driver,998,Not Stated,North,Proceeding Straight,Impairment Unknown,Impairment Unknown,Not Stated,    ,-,Not Stated,Pedestrian,23,Male,East,Not Stated,Had Not Been Drinking,Not Stated,Pedestrian,,-,Not Stated,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8923444,8/2/19,1900,Friday,FIGUEROA ST,20TH ST,190,North,-118.2726668,34.03342438,Complaint of Pain,12,0,1,Automobile Right of Way,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,21801,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Daylight,None,Driver,46,Male,South,Making Left Turn,"Had Been Drinking, Under Influence",Not Stated,Passenger Car/Station Wagon,2019,KIA,Air Bag Not Deployed,Driver,25,Female,North,Proceeding Straight,Had Not Been Drinking,Not Stated,Other Bus,2005,OTHER - BUS,Air Bag Not Deployed,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8923515,8/3/19,1830,Saturday,FIGUEROA ST,20TH ST,0,Not Stated,-118.2729622,34.03296661,Complaint of Pain,1,0,,Unsafe Lane Change,No,Sideswipe,Bicycle,No Pedestrian Involved,21658,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Daylight,None,Driver,29,Male,North,Proceeding Straight,Had Not Been Drinking,Not Stated,Other Bus,2019,OTHER - BUS,Air Bag Not Deployed,Bicyclist,24,Male,North,Proceeding Straight,Had Not Been Drinking,Not Stated,Bicycle,,-,Not Stated,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8925529,8/2/19,720,Friday,6TH ST,FIGUEROA ST,0,Not Stated,-118.2585221,34.05082321,Other Visible Injury,1,0,1,Improper Turning,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,22100,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Daylight,None,Driver,24,Female,East,Making Left Turn,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,1988,HONDA,Air Bag Not Deployed,Driver,63,Female,East,Proceeding Straight,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2013,NISSAN,Air Bag Not Deployed,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8926228,7/11/19,1825,Thursday,FIGUEROA ST,6TH ST,5,North,-118.258512,34.05083466,Property Damage Only,0,0,1,Improper Turning,Misdemeanor,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,22100,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Daylight,Functioning,Driver,998,Not Stated,North,Not Stated,Impairment Unknown,Impairment Unknown,Not Stated,    ,-,Not Stated,Driver,33,Male,North,Not Stated,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2017,INFINITI,Air Bag Not Deployed,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
